pair,ep854_delivered_d_pose,pu2_live_d_pose,map_d_pose,map_pose_delta_vs_pu2_live,map_flips_vs_gt,map_flips_vs_live,sub_final_repaired,sub_final_d_pose_after_repair,sub_map_repair_repaired,sub_map_repair_d_pose_after_repair,ep854_k4_best_d_pose,ep854_k4_ratio_vs_bar,ep854_k4_envelope_status,ep854_best_k6_d_pose,ep854_best_k6_source,ep854_best_k8_d_pose,ep854_best_k8_source
60,9.661576271057129,0.00045246651279740036,0.2750426232814789,0.2745901567686815,1003,526,False,0.00045246651279740036,False,0.2750426232814789,,,k4_envelope_not_measured_for_pair,,,,
61,0.6893310546875,0.0027302270755171776,0.014950945042073727,0.012220717966556549,1198,604,False,0.0027302270755171776,False,0.014950945042073727,,,k4_envelope_not_measured_for_pair,,,,
62,137.30905151367188,0.0014694280689582229,0.001888513215817511,0.0004190851468592882,1051,499,False,0.0014694280689582229,False,0.001888513215817511,,,k4_envelope_not_measured_for_pair,,,,
63,0.30077773332595825,0.0021491830702871084,0.05266183614730835,0.05051265307702124,1098,597,False,0.0021491830702871084,False,0.05266183614730835,,,k4_envelope_not_measured_for_pair,,,,
64,4.420251846313477,0.001597408321686089,0.0030556954443454742,0.0014582871226593852,916,417,False,0.001597408321686089,False,0.0030556954443454742,,,k4_envelope_not_measured_for_pair,,,,
65,13.980640411376953,0.0014705286594107747,0.014239647425711155,0.01276911876630038,1202,539,False,0.0014705286594107747,False,0.014239647425711155,,,k4_envelope_not_measured_for_pair,,,,
66,0.5294567942619324,0.002320536645129323,0.03374246507883072,0.031421928433701396,2270,793,False,0.002320536645129323,False,0.03374246507883072,,,k4_envelope_not_measured_for_pair,,,,
67,7.58861780166626,0.003968554548919201,0.004359714221209288,0.00039115967229008675,1139,516,True,0.0004876348830293864,False,0.004359714221209288,,,k4_envelope_not_measured_for_pair,,,,
68,4.454472541809082,0.00040524746873416007,0.07466690242290497,0.07426165495417081,1261,468,False,0.00040524746873416007,False,0.07466690242290497,,,k4_envelope_not_measured_for_pair,,,,
69,41.70457458496094,0.0009913238463923335,0.001160818268544972,0.00016949442215263844,1428,582,False,0.0009913238463923335,False,0.001160818268544972,,,k4_envelope_not_measured_for_pair,,,,
70,166.2256622314453,0.0004691094218287617,0.012237912975251675,0.011768803553422913,1676,720,False,0.0004691094218287617,False,0.012237912975251675,,,k4_envelope_not_measured_for_pair,,,,
71,165.8494110107422,0.0013975361362099648,0.018567293882369995,0.01716975774616003,1163,672,False,0.0013975361362099648,False,0.018567293882369995,,,k4_envelope_not_measured_for_pair,,,,
72,0.016102414578199387,0.001535838469862938,0.0028026069048792124,0.0012667684350162745,1216,528,False,0.001535838469862938,False,0.0028026069048792124,,,k4_envelope_not_measured_for_pair,,,,
73,103.17477416992188,0.0019329708302393556,0.005701843183487654,0.003768872353248298,918,449,False,0.0019329708302393556,False,0.005701843183487654,,,k4_envelope_not_measured_for_pair,,,,
